x-axis-Sec	ch1	ch2	ch2
-0.000011175	-0.0575	4.968	4.943
-0.00001115	-0.0575	4.984	4.943
-0.000011125	-0.0575	4.984	4.943
-0.0000111	0.005	5	4.88
-0.000011075	-0.0575	4.968	4.943
-0.00001105	0.005	5	4.88
-0.000011025	-0.0575	4.984	4.943
-0.000011	-0.0575	4.984	4.88
-0.000010975	0.005	4.984	4.943
-0.00001095	0.005	4.968	4.943
-0.000010925	0.005	4.984	4.943
-0.0000109	0.005	4.968	4.943
-0.000010875	0.005	5	4.943
-0.00001085	-0.0575	4.984	4.943
-0.000010825	0.005	5	4.943
-0.0000108	-0.0575	4.968	4.88
-0.000010775	0.005	4.984	4.943
-0.00001075	0.005	4.968	4.943
-0.000010725	0.005	4.984	4.943
-0.0000107	0.005	4.968	4.88
-0.000010675	0.005	4.968	4.943
-0.00001065	-0.0575	4.968	4.943
-0.000010625	-0.0575	4.984	4.943
-0.0000106	-0.0575	5	4.943
-0.000010575	-0.0575	5	4.88
-0.00001055	0.005	5	4.943
-0.000010525	0.005	4.968	4.943
-0.0000105	-0.12	4.984	4.943
-0.000010475	0.005	5	4.943
-0.00001045	0.005	5	4.943
-0.000010425	0.005	5	4.88
-0.0000104	-0.0575	4.984	4.943
-0.000010375	-0.12	4.968	4.943
-0.00001035	0.005	5	4.943
-0.000010325	-0.0575	5	4.943
-0.0000103	-0.0575	5	4.943
-0.000010275	-0.0575	4.984	4.88
-0.00001025	-0.0575	4.968	4.943
-0.000010225	0.005	4.984	4.88
-0.0000102	-0.0575	5	4.88
-0.000010175	0.005	5	4.943
-0.00001015	0.005	4.968	4.943
-0.000010125	0.005	5	4.943
-0.0000101	-0.0575	4.968	4.943
-0.000010075	0.005	4.968	4.943
-0.00001005	0.005	5	4.88
-0.000010025	0.005	4.984	4.943
-0.00001	-0.0575	4.968	4.88
-0.000009975	-0.0575	4.968	4.943
-0.00000995	-0.0575	4.984	4.943
-0.000009925	-0.0575	4.968	4.943
-0.0000099	-0.0575	4.984	5.005
-0.000009875	-0.0575	4.984	4.943
-0.00000985	-0.0575	5.015	4.943
-0.000009825	0.005	4.984	4.943
-0.0000098	-0.12	5	4.943
-0.000009775	0.005	4.984	4.88
-0.00000975	0.005	4.984	4.943
-0.000009725	0.005	4.984	4.943
-0.0000097	-0.12	5	4.943
-0.000009675	-0.0575	5	4.943
-0.00000965	-0.0575	5.015	4.943
-0.000009625	-0.0575	4.984	4.943
-0.0000096	-0.12	5	4.943
-0.000009575	0.005	4.968	5.005
-0.00000955	0.005	4.984	4.943
-0.000009525	-0.12	5	4.943
-0.0000095	0.005	4.984	5.005
-0.000009475	0.005	5	4.943
-0.00000945	0.005	4.984	4.943
-0.000009425	-0.0575	5	4.943
-0.0000094	-0.12	4.968	4.943
-0.000009375	0.005	4.968	5.005
-0.00000935	0.005	4.968	4.943
-0.000009325	-0.0575	4.984	4.88
-0.0000093	-0.12	5	4.943
-0.000009275	-0.0575	5	4.943
-0.00000925	0.005	4.984	4.943
-0.000009225	-0.12	5	4.943
-0.0000092	0.005	4.984	4.943
-0.000009175	-0.12	4.984	4.943
-0.00000915	-0.0575	5	4.943
-0.000009125	0.005	4.984	4.943
-0.0000091	0.005	5	4.943
-0.000009075	0.005	4.968	4.943
-0.00000905	-0.0575	4.968	4.943
-0.000009025	-0.12	4.968	4.943
-0.000009	0.005	4.968	4.943
-0.000008975	-0.0575	5	4.943
-0.00000895	0.005	4.984	4.943
-0.000008925	-0.0575	5	4.943
-0.0000089	0.005	4.984	4.943
-0.000008875	-0.0575	4.968	4.88
-0.00000885	-0.0575	4.968	5.005
-0.000008825	0.005	4.984	4.943
-0.0000088	-0.0575	5	4.943
-0.000008775	-0.0575	4.968	4.943
-0.00000875	-0.0575	5.015	4.943
-0.000008725	-0.0575	5	4.943
-0.0000087	-0.12	4.968	4.943
-0.000008675	-0.0575	5	4.943
-0.00000865	0.005	4.968	4.88
-0.000008625	-0.0575	5	4.943
-0.0000086	0.005	4.984	4.943
-0.000008575	0.005	5	4.943
-0.00000855	0.005	5	4.943
-0.000008525	0.005	4.968	4.943
-0.0000085	0.005	4.984	4.88
-0.000008475	0.005	4.984	4.943
-0.00000845	0.005	4.968	4.943
-0.000008425	0.005	4.984	4.88
-0.0000084	0.005	5.015	4.943
-0.000008375	-0.0575	5	4.943
-0.00000835	-0.0575	4.968	4.943
-0.000008325	-0.0575	4.984	4.943
-0.0000083	0.005	5	4.943
-0.000008275	0.005	4.968	4.943
-0.00000825	0.005	4.968	4.943
-0.000008225	0.005	4.984	4.943
-0.0000082	0.005	4.984	4.943
-0.000008175	-0.12	4.968	4.943
-0.00000815	0.005	4.984	4.943
-0.000008125	-0.0575	4.968	4.943
-0.0000081	-0.0575	4.968	5.005
-0.000008075	-0.12	4.968	5.005
-0.00000805	0.005	4.984	4.88
-0.000008025	0.005	5	4.943
-0.000008	-0.0575	4.984	4.943
-0.000007975	0.005	4.968	4.943
-0.00000795	-0.0575	4.968	4.88
-0.000007925	0.005	5	4.943
-0.0000079	-0.12	5	4.943
-0.000007875	-0.0575	5	4.943
-0.00000785	-0.0575	5	4.943
-0.000007825	0.005	5	4.943
-0.0000078	0.005	4.984	4.943
-0.000007775	-0.0575	4.984	4.943
-0.00000775	0.005	5	4.943
-0.000007725	0.005	4.984	4.943
-0.0000077	-0.0575	5	4.88
-0.000007675	0.005	4.984	5.005
-0.00000765	-0.0575	4.984	4.943
-0.000007625	-0.0575	4.984	4.943
-0.0000076	0.005	5	5.005
-0.000007575	-0.0575	4.968	4.943
-0.00000755	0.005	5	4.88
-0.000007525	0.005	5	4.943
-0.0000075	-0.0575	4.984	4.943
-0.000007475	-0.0575	4.968	4.943
-0.00000745	0.005	5	4.943
-0.000007425	0.005	5.015	4.88
-0.0000074	0.005	4.984	4.943
-0.000007375	0.005	5	4.943
-0.00000735	0.005	4.984	4.943
-0.000007325	-0.0575	4.968	4.943
-0.0000073	-0.0575	5	4.943
-0.000007275	-0.0575	5	4.943
-0.00000725	0.005	4.968	4.943
-0.000007225	0.0675	4.968	4.943
-0.0000072	-0.0575	4.984	4.943
-0.000007175	0.005	5	4.943
-0.00000715	-0.0575	4.984	4.943
-0.000007125	0.005	4.984	5.005
-0.0000071	-0.0575	4.968	4.943
-0.000007075	0.005	4.984	4.943
-0.00000705	0.005	4.968	4.88
-0.000007025	0.005	4.984	4.943
-0.000007	0.005	4.984	4.88
-0.000006975	0.005	5	5.005
-0.00000695	0.005	4.984	5.005
-0.000006925	0.005	4.968	4.943
